,modelo,ano_modelo,marca,modelo_raw
1679,HR-V TOURING 1.5 TB 16V 5P AUT.,2018.0,HONDA,HR-V TOURING 1.5 TB 16V 5P AUT.
1680,HR-V EX 1.8 FLEXONE 16V 5P AUT.,2018.0,HONDA,HR-V EX 1.8 FLEXONE 16V 5P AUT.
1681,LOGAN EXPRES. AVANTAGE FLEX 1.0 12V 4P,2019.0,RENAULT,LOGAN EXPRES. AVANTAGE FLEX 1.0 12V 4P
1694,HB20 C./C.PLUS/C.STYLE 1.6 FLEX 16V MEC.,2018.0,HYUNDAI,HB20 C./C.PLUS/C.STYLE 1.6 FLEX 16V MEC.
1708,AMAROK HIG. EXTREME CD 2.0 4X4 DIES. AUT.,2019.0,VW - VOLKSWAGEN,AMAROK HIG. EXTREME CD 2.0 4X4 DIES. AUT
1709,FIT EXL 1.5 FLEX/FLEXONE 16V 5P AUT.,2020.0,HONDA,FIT EXL 1.5 FLEX/FLEXONE 16V 5P AUT
1712,AUDQ3 1.4TFSI,2019.0,AUDI,AUDI/Q3 1.4TFSI
1722,TRACKER LT 1.0 TURBO 12V FLEX AUT.,2018.0,GM - CHEVROLET,TRACKER LT 1.0 TURBO 12V FLEX AUT.
1728,YARIS XS CONNECT 1.5 FLEX 16V 5P AUT.,2021.0,TOYOTA,YARIS XS CONNECT 1.5 FLEX 16V 5P AUT.
1731,ETIOS SD X VSC AT,2019.0,TOYOTA,TOYOTA/ETIOS SD X VSC AT
1734,ECOSPORT SE 1.5,2019.0,FORD,FORD/ECOSPORT SE 1.5
1735,VERSA EXCL CVT,2021.0,NISSAN,I/NISSAN VERSA EXCL CVT
1742,HB20X PREMIUM 1.6 FLEX 16V AUT.,2017.0,HYUNDAI,HB20X PREMIUM 1.6 FLEX 16V AUT.
1746,SIENA 1.0 MP 500 1.0 MPI,2021.0,FIAT,SIENA 1.0 MPI/ 500 1.0 MPI
1747,MARCH 10S,2019.0,NISSAN,NISSAN/MARCH 10S
1752,TAOS CL TSI AE,2022.0,VW - VOLKSWAGEN,I/VW TAOS CL TSI AE
1766,2008 GRIFFE AT,2017.0,PEUGEOT,PEUGEOT/2008 GRIFFE AT
1767,HB20X STYLE 1.6 FLEX 16V AUT.,2019.0,HYUNDAI,HB20X STYLE 1.6 FLEX 16V AUT.
1768,HB20 C./C.PLUS/C.STYLE 1.6 FLEX 16V MEC.,2017.0,HYUNDAI,HB20 C./C.PLUS/C.STYLE 1.6 FLEX 16V MEC.
1770,RENEGADE SPORT 1.8 4X2 FLEX 16V AUT.,2018.0,JEEP,RENEGADE SPORT 1.8 4X2 FLEX 16V AUT.
1771,C200,2019.0,M.BENZ,M.BENZ/C200
1777,VIRTUS 1.6 MSI FLEX 16V 4P AUT.,2019.0,VW - VOLKSWAGEN,VIRTUS 1.6 MSI FLEX 16V 4P AUT.
1781,CRONOS PRECISION 1.8 16V FLEX AUT.,2021.0,FIAT,CRONOS PRECISION 1.8 16V FLEX AUT.
1787,CRUZE HB SPORT LTZ 1.8 16V FLEXP. 5P AUT.,2017.0,GM - CHEVROLET,CRUZE HB SPORT LTZ 1.8 16V FLEXP. 5P AUT
1789,YARIS S 1.5 FLEX 16V 5P AUT.,2021.0,TOYOTA,YARIS S 1.5 FLEX 16V 5P AUT.
1801,JOY PLUS 1.0 8V 4P FLEX MEC.,2020.0,GM - CHEVROLET,JOY PLUS 1.0 8V 4P FLEX MEC.
1804,CRETA PULSE 1.6 16V FLEX AUT.,2019.0,HYUNDAI,CRETA PULSE 1.6 16V FLEX AUT.
1808,TIGUAN ALLSPAC R-LINE 350 TSI 2.0 4X4,2021.0,VW - VOLKSWAGEN,TIGUAN ALLSPAC R-LINE 350 TSI 2.0 4X4
1810,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,2022.0,FIAT,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS
1817,VW/NOVO GOL TRACK MCV,2018.0,VW - VOLKSWAGEN,VW/NOVO GOL TRACK MCV
1826,CITY SEDAN EXL 1.5 FLEX 16V 4P AUT.,2020.0,HONDA,CITY SEDAN EXL 1.5 FLEX 16V 4P AUT.
1828,KA SEL 1.5 SD C,2019.0,FORD,FORD/KA SEL 1.5 SD C
1835,AMAROK EXTREME CD 3.0 4X4 TB DIES. AUT.,2022.0,VW - VOLKSWAGEN,AMAROK EXTREME CD 3.0 4X4 TB DIES. AUT.
1836,RENEGADE S CUSTOM D,2018.0,JEEP,JEEP/RENEGADE S CUSTOM D
1837,HILUX SW4 4X4 3.0 24V V6,2019.0,TOYOTA,HILUX SW4 4X4 3.0 24V V6
1839,VIRTUS 1.6 MSI FLEX 16V 5P MEC.,2022.0,VW - VOLKSWAGEN,VIRTUS 1.6 MSI FLEX 16V 5P MEC.
1843,FOX XTREME 1.6 FLEX 8V 5P,2021.0,VW - VOLKSWAGEN,FOX XTREME 1.6 FLEX 8V 5P
1845,MARCH 10SV,2019.0,NISSAN,NISSAN/MARCH 10SV
1850,AMAROK CD 4X4 SE,2017.0,VW - VOLKSWAGEN,I/VW AMAROK CD 4X4 SE
1852,HILUX CD SR 4X4 2.8 TDI DIESEL AUT.,2019.0,TOYOTA,HILUX CD SR 4X4 2.8 TDI DIESEL AUT.
1854,PRISMA SED. LTZ 1.4 8V FLEXPOWER 4P AUT.,2019.0,GM - CHEVROLET,PRISMA SED. LTZ 1.4 8V FLEXPOWER 4P AUT.
1863,KA SE PLUS 1.5 SD C,2021.0,FORD,FORD/KA SE PLUS 1.5 SD C
1867,STRADA WORKING HARD 1.4 FIRE FLEX 8V CE,2020.0,FIAT,STRADA WORKING HARD 1.4 FIRE FLEX 8V CE
1869,CITY SEDAN LX 1.5 FLEX 16V 4P AUT.,2019.0,HONDA,CITY SEDAN LX 1.5 FLEX 16V 4P AUT.
1870,320I,2021.0,BMW,320I
1882,ECOSPORT SE AT 2.0B,2017.0,FORD,FORD/ECOSPORT SE AT 2.0B
1886,HILUX CD SRV 4X4 3.0 8V 116CV TB DIESEL,2021.0,TOYOTA,HILUX CD SRV 4X4 3.0 8V 116CV TB DIESEL
1891,S10 HC DD4A,2019.0,GM - CHEVROLET,CHEVROLET/S10 HC DD4A
1893,HB20S STYLE 1.6 FLEX 16V AUT.,2019.0,HYUNDAI,HB20S STYLE 1.6 FLEX 16V AUT.
1894,CRUZE HB SPORT LTZ 1.8 16V FLEXP. 5P AUT.,2022.0,GM - CHEVROLET,CRUZE HB SPORT LTZ 1.8 16V FLEXP. 5P AUT
1904,KICKS SL CVT,2020.0,NISSAN,NISSAN/KICKS SL CVT
1906,CRONOS DRIVE GSR 1.3 8V FLEX,2019.0,FIAT,CRONOS DRIVE GSR 1.3 8V FLEX
1911,RENEGADE SPORT 1.8 4X2 FLEX 16V AUT.,2017.0,JEEP,RENEGADE SPORT 1.8 4X2 FLEX 16V AUT.
1915,RENEGADE LIMITED AT,2021.0,JEEP,JEEP/RENEGADE LIMITED AT
1920,ARGO 1.0 6V FLEX,2018.0,FIAT,ARGO 1.0 6V FLEX
1925,RANGER XLSCD4A22C,2018.0,FORD,I/FORD RANGER XLSCD4A22C
1929,DUSTER OROCH DYNA. 2.0 FLEX 16V AUT.,2019.0,RENAULT,DUSTER OROCH DYNA. 2.0 FLEX 16V AUT.
1935,DOBLO ESSENCE 1.8 FLEX 16V 5P,2018.0,FIAT,DOBLO ESSENCE 1.8 FLEX 16V 5P
1946,SAVEIRO ROBUST 1.6 TOTAL FLEX 8V CD,2018.0,VW - VOLKSWAGEN,SAVEIRO ROBUST 1.6 TOTAL FLEX 8V CD
1952,TIGUAN ALLSPAC R-LINE 350 TSI 2.0 4X4,2018.0,VW - VOLKSWAGEN,TIGUAN ALLSPAC R-LINE 350 TSI 2.0 4X4
1955,A5 SPB 2.0TFSI,2018.0,AUDI,I/AUDI A5 SPB 2.0TFSI
1964,CITROEN/AIRCROSS LIVE AT,2020.0,CITROËN,CITROEN/AIRCROSS LIVE AT
1973,YARIS XL PLUS CON. 1.5 FLEX 16V 5P AUT.,2022.0,TOYOTA,YARIS XL PLUS CON. 1.5 FLEX 16V 5P AUT.
1976,KWID INTENSE 1.0 FLEX 12V 5P MEC.,2019.0,RENAULT,KWID INTENSE 1.0 FLEX 12V 5P MEC.
1977,REANGER XLSCD2A22,2021.0,FORD,I/FORD REANGER XLSCD2A22
1980,VW/FOX CONNECT SB,2019.0,VW - VOLKSWAGEN,VW/FOX CONNECT SB
1981,HB20 PREMIUM 1.6 FLEX 16V AUT.,2017.0,HYUNDAI,HB20 PREMIUM 1.6 FLEX 16V AUT.
1989,STRADA WORKING HARD 1.4 FIRE FLEX 8V CD,2018.0,FIAT,STRADA WORKING HARD 1.4 FIRE FLEX 8V CD
1998,SANDERO 16GTLSCE,2019.0,RENAULT,RENAULT/SANDERO 16GTLSCE
2003,C4 CACTUS FEEL 1.6 16V FLEX AUT.,2020.0,CITROËN,C4 CACTUS FEEL 1.6 16V FLEX AUT.
2009,SIENA ESSENCE 1.6 FLEX 16V 4P,2018.0,FIAT,SIENA ESSENCE 1.6 FLEX 16V 4P
2011,COMMANDER LIMITED T270 1.3 TB FLEX AUT.,2022.0,JEEP,COMMANDER LIMITED T270 1.3 TB FLEX AUT.
2016,COMPASS LIMETED F H,2019.0,JEEP,JEEP/COMPASS LIMETED F H
2017,HR-V TOURING 1.5 TB 16V 5P AUT.,2020.0,HONDA,HR-V TOURING 1.5 TB 16V 5P AUT.
2019,DUSTER DYNAMIQUE 2.0 FLEX 16V AUT.,2019.0,RENAULT,DUSTER DYNAMIQUE 2.0 FLEX 16V AUT.
2020,S10 PICK-UP LTZ 2.5 FLEX 4X2 CD,2019.0,GM - CHEVROLET,S10 PICK-UP LTZ 2.5 FLEX 4X2 CD
2021,HB20S PREMIUM 1.6 FLEX 16V AUT. 4P,2018.0,HYUNDAI,HB20S PREMIUM 1.6 FLEX 16V AUT. 4P
2023,TORO ENDURANCE 1.8 16V FLEX AUT.,2022.0,FIAT,TORO ENDURANCE 1.8 16V FLEX AUT.
2030,AUDA3 LM 150CV,2019.0,AUDI,AUDI/A3 LM 150CV
2031,KA SEL AT 1.5 SD C,2020.0,FORD,FORD/KA SEL AT 1.5 SD C
2036,FIT EX/S/EX 1.5 FLEX/FLEXONE 16V 5P AUT.,2018.0,HONDA,FIT EX/S/EX 1.5 FLEX/FLEXONE 16V 5P AUT.
2040,CRUZE HB SPORT LT 1.8 16V FLEXP. 5P MEC.,2020.0,GM - CHEVROLET,CRUZE HB SPORT LT 1.8 16V FLEXP. 5P MEC
2043,FOX XTREME 1.6 FLEX 8V 5P,2018.0,VW - VOLKSWAGEN,FOX XTREME 1.6 FLEX 8V 5P
2049,ONIX HATCH LT 1.0 12V FLEX 5P MEC.,2022.0,GM - CHEVROLET,ONIX HATCH LT 1.0 12V FLEX 5P MEC.
2054,TORO ENDURANCE MT5,2021.0,FIAT,FIAT/TORO ENDURANCE MT5
2062,2008 GF THP INC,2020.0,PEUGEOT,PEUGEOT/2008 GF THP INC
2063,FRONTIER XE X4,2020.0,NISSAN,I/NISSAN FRONTIER XE X4
2065,RANGER XLSCD4 22C,2019.0,FORD,I/FORD RANGER XLSCD4 22C
2066,CRUZE LTZ 1.4 16V TURBO FLEX 4P AUT.,2022.0,GM - CHEVROLET,CRUZE LTZ 1.4 16V TURBO FLEX 4P AUT.
2067,DUSTER OROCH DYNA. 2.0 FLEX 16V MEC.,2019.0,RENAULT,DUSTER OROCH DYNA. 2.0 FLEX 16V MEC.
2074,CITROEN/AIRCROSS LIVE AT,2019.0,CITROËN,CITROEN/AIRCROSS LIVE AT
2077,C4 CACTUS SHINE PACK 1.6 TURBO FLEX AUT.,2020.0,CITROËN,C4 CACTUS SHINE PACK 1.6 TURBO FLEX AUT.
2080,ONIX HATCH LT 1.0 12V FLEX 5P MEC.,2020.0,GM - CHEVROLET,ONIX HATCH LT 1.0 12V FLEX 5P MEC.
2088,FRONTIER S MTX4,2019.0,NISSAN,I/NISSAN FRONTIER S MTX4
2095,SANDERO LIFE FLEX 1.0 12V 5P MEC.,2021.0,RENAULT,SANDERO LIFE FLEX 1.0 12V 5P MEC.
2101,RANGER XLS4STMA32,2021.0,FORD,I/FORD RANGER XLS4STMA32
2102,MONTANA LS 1.4 ECONOFLEX 8V 2P,2020.0,GM - CHEVROLET,MONTANA LS 1.4 ECONOFLEX 8V 2P
2119,ONIX HATCH PREM. 1.0 12V TB FLEX 5P AUT.,2017.0,GM - CHEVROLET,ONIX HATCH PREM. 1.0 12V TB FLEX 5P AUT.
2124,ARGO DRIVE 1.3 8V FLEX,2021.0,FIAT,ARGO DRIVE 1.3 8V FLEX
2134,CIVIC SEDAN SPORT 2.0 FLEX 16V MEC.4P,2019.0,HONDA,CIVIC SEDAN SPORT 2.0 FLEX 16V MEC.4P
2140,VW/GOLF GTI AC,2017.0,VW - VOLKSWAGEN,VW/GOLF GTI AC
2148,ONIX HATCH LT 1.4 8V FLEXPOWER 5P MEC.,2019.0,GM - CHEVROLET,ONIX HATCH LT 1.4 8V FLEXPOWER 5P MEC.
2149,HB20S VISION 1.0 FLEX 12V MEC.,2022.0,HYUNDAI,HB20S VISION 1.0 FLEX 12V MEC.
2153,ONIX HATCH LT 1.0 8V FLEXPOWER 5P MEC.,2020.0,GM - CHEVROLET,CHEVROLET ONIX HATCH LT 1.0 8V FLEXPOWER 5P MEC.
2159,ETIOS X PLUS SEDAN 1.5 FLEX 16V 4P AUT.,2020.0,TOYOTA,ETIOS X PLUS SEDAN 1.5 FLEX 16V 4P AUT.
2174,POLO 1.0 MI 79CV 16V 5P,2020.0,VW - VOLKSWAGEN,POLO 1.0 MI 79CV 16V 5P
2177,ECOSPORT ATM4AT 2.0,2019.0,FORD,FORD/ECOSPORT ATM4AT 2.0
2179,COROLLA CROSS XRE 2.0 16V FLEX AUT.,2022.0,TOYOTA,COROLLA CROSS XRE 2.0 16V FLEX AUT.
2180,MARCH 10S,2017.0,NISSAN,NISSAN/MARCH 10S
2182,COMPASS LIMITED D,2018.0,JEEP,JEEP/COMPASS LIMITED D
2184,325IA,2021.0,BMW,325IA
2194,COROLLA XRS 2.0 FLEX 16V AUT.,2021.0,TOYOTA,COROLLA XRS 2.0 FLEX 16V AUT.
2195,HB20 C./C.PLUS/C.STYLE 1.6 FLEX 16V MEC.,2019.0,HYUNDAI,HB20 C./C.PLUS/C.STYLE 1.6 FLEX 16V MEC.
2206,DUSTER DYNAMIQUE 2.0 FLEX 16V AUT.,2018.0,RENAULT,DUSTER DYNAMIQUE 2.0 FLEX 16V AUT.
2209,SAVEIRO TRENDLINE 1.6 T.FLEX 8V,2020.0,VW - VOLKSWAGEN,SAVEIRO TRENDLINE 1.6 T.FLEX 8V
2210,HILUX CD SRV 4X4 3.0 8V 116CV TB DIESEL,2020.0,TOYOTA,HILUX CD SRV 4X4 3.0 8V 116CV TB DIESEL
2227,LOGAN EXPRESSION FLEX 1.6 16V 4P,2017.0,RENAULT,LOGAN EXPRESSION FLEX 1.6 16V 4P
2234,COMPASS LIMITED S,2021.0,JEEP,JEEP/COMPASS LIMITED S
2255,ONIX HATCH LT 1.4 8V FLEXPOWER 5P AUT.,2018.0,GM - CHEVROLET,ONIX HATCH LT 1.4 8V FLEXPOWER 5P AUT.
2263,ARGO HGT 1.8 16V FLEX MEC.,2018.0,FIAT,ARGO HGT 1.8 16V FLEX MEC.
2277,COROLLA ALTIS 1.8 16V AUT. (HÍBRIDO),2018.0,TOYOTA,COROLLA ALTIS 1.8 16V AUT. (HÍBRIDO)
2278,ONIX HATCH ACTIV 1.4 8V FLEX 5P AUT.,2019.0,GM - CHEVROLET,ONIX HATCH ACTIV 1.4 8V FLEX 5P AUT.
2279,CIVIC SEDAN TOURING 1.5 TURBO 16V AUT.4P,2018.0,HONDA,CIVIC SEDAN TOURING 1.5 TURBO 16V AUT.4P
2296,V-DRIVE 16PREMCVT,2021.0,NISSAN,NISSAN/V-DRIVE 16PREMCVT
2303,ONIX HATCH LT 1.4 8V FLEXPOWER 5P MEC.,2018.0,GM - CHEVROLET,ONIX HATCH LT 1.4 8V FLEXPOWER 5P MEC.
2311,MOBI EASY 1.0 FIRE FLEX 5P.,2017.0,FIAT,MOBI EASY 1.0 FIRE FLEX 5P.
2313,STRADA FREEDOM 1.3 FLEX 8V CD,2021.0,FIAT,STRADA FREEDOM 1.3 FLEX 8V CD
2316,VOYAGE 1.6 MSI FLEX 16V 4P AUT.,2021.0,VW - VOLKSWAGEN,VOYAGE 1.6 MSI FLEX 16V 4P AUT.
2319,S10 PICK-UP LTZ 2.5 FLEX 4X4 CD AUT.,2018.0,GM - CHEVROLET,S10 PICK-UP LTZ 2.5 FLEX 4X4 CD AUT.
2331,ECOSPORT TIT2AT 1.5,2020.0,FORD,FORD/ECOSPORT TIT2AT 1.5
2334,ARGO DRIVE 1.0 6V FLEX,2022.0,FIAT,ARGO DRIVE 1.0 6V FLEX
2350,CRETA ATTITUDE 1.6 16V FLEX MEC.,2019.0,HYUNDAI,CRETA ATTITUDE 1.6 16V FLEX MEC.
2358,KA SE PLUS AT1.5SDC,2020.0,FORD,FORD/KA SE PLUS AT1.5SDC
2359,KWID LIFE 1.0 FLEX 12V 5P MEC.,2019.0,RENAULT,KWID LIFE 1.0 FLEX 12V 5P MEC.
2362,RENEGADE LIM. EDIT. 1.8 4X2 FLEX 16V AUT.,2020.0,JEEP,RENEGADE LIM. EDIT. 1.8 4X2 FLEX 16V AUT
2363,ARGO DRIVE 1.3 8V FLEX,2020.0,FIAT,ARGO DRIVE 1.3 8V FLEX
2384,KA SE 1.0 HA C,2021.0,FORD,FORD/KA SE 1.0 HA C
2389,ARGO 1.0 6V FLEX,2019.0,FIAT,ARGO 1.0 6V FLEX
2390,MONTANA LS 1.4 ECONOFLEX 8V 2P,2019.0,GM - CHEVROLET,MONTANA LS 1.4 ECONOFLEX 8V 2P
2397,X3 XDRIVE 20I 2.0/X-LINE BI-TB FLEX AUT.,2019.0,BMW,BMW X3 XDRIVE 20I 2.0/X-LINE BI-TB FLEX AUT.
2404,HB20 EVOLUTION 1.0 FLEX 12V MEC.,2020.0,HYUNDAI,HB20 EVOLUTION 1.0 FLEX 12V MEC.
2407,GOL 1.6 I MOTI.POWER/HIGHLI T.FLEX 8V 4P,2021.0,VW - VOLKSWAGEN,GOL 1.6 I MOTI.POWER/HIGHLI T.FLEX 8V 4P
2412,GOL TRENDLINE 1.0 T.FLEX 12V 3P,2017.0,VW - VOLKSWAGEN,GOL TRENDLINE 1.0 T.FLEX 12V 3P
2413,DUSTER DYNAMIQUE 2.0 FLEX 16V AUT.,2017.0,RENAULT,DUSTER DYNAMIQUE 2.0 FLEX 16V AUT.
2417,MOBI TREKKING 1.0 FLEX 5P.,2022.0,FIAT,MOBI TREKKING 1.0 FLEX 5P.
2422,KA TECNO 1.0 HA B,2018.0,FORD,FORD/KA TECNO 1.0 HA B
2430,KICKS S CVT,2018.0,NISSAN,NISSAN/KICKS S CVT
2435,C4 LOUNGE TENDANCE 1.6 TURBO 4P AUT.,2017.0,CITROËN,C4 LOUNGE TENDANCE 1.6 TURBO 4P AUT
2441,CRETA ATTITUDE 1.6 16V FLEX MEC.,2020.0,HYUNDAI,CRETA ATTITUDE 1.6 16V FLEX MEC.
2447,PRIUS 1.8 16V 5P AUT. (HÍBRIDO),2018.0,TOYOTA,PRIUS 1.8 16V 5P AUT. (HÍBRIDO)
2450,COROLLA GLI 1.8 FLEX 16V AUT.,2019.0,TOYOTA,COROLLA GLI 1.8 FLEX 16V AUT.
2461,RENEGADE LNGTD AT D,2018.0,JEEP,JEEP/RENEGADE LNGTD AT D
2466,ECOSPORT SE AT 1.6B,2017.0,FORD,FORD/ECOSPORT SE AT 1.6B
2467,ARGO DRIVE 1.3 8V FLEX,2019.0,FIAT,ARGO DRIVE 1.3 8V FLEX
2480,RAV4 2.5 SX 4X4 HYBRID AUT.,2020.0,TOYOTA,RAV4 2.5 SX 4X4 HYBRID AUT.
2488,COBALT LTZ 1.8 8V ECONO.FLEX 4P MEC.,2018.0,GM - CHEVROLET,COBALT LTZ 1.8 8V ECONO.FLEX 4P MEC.
2490,G 310 GS,2021.0,BMW,BMW G 310 GS
2493,MOBI EASY 1.0 FIRE FLEX 5P.,2020.0,FIAT,MOBI EASY 1.0 FIRE FLEX 5P.
2502,VERSA 16SL CVT,2018.0,NISSAN,NISSAN/VERSA 16SL CVT
2514,COMPASS LONGITUDE D,2020.0,JEEP,JEEP/COMPASS LONGITUDE D
2515,KA SE PLUS 1.0 SD C,2020.0,FORD,FORD/KA SE PLUS 1.0 SD C
2518,HB20 EVOLUTION 1.0 FLEX 12V MEC.,2021.0,HYUNDAI,HB20 EVOLUTION 1.0 FLEX 12V MEC.
2528,RANGER XLTCD4A32C,2021.0,FORD,I/FORD RANGER XLTCD4A32C
2532,SAVEIRO CROSS 1.6 T.FLEX 16V CD,2022.0,VW - VOLKSWAGEN,SAVEIRO CROSS 1.6 T.FLEX 16V CD
2534,LOGAN EXPRES. AVANTAGE FLEX 1.0 12V 4P,2018.0,RENAULT,LOGAN EXPRES. AVANTAGE FLEX 1.0 12V 4P
2535,320I,2020.0,BMW,320I
2538,CRUZE LTZ 1.4 16V TURBO FLEX 4P AUT.,2019.0,GM - CHEVROLET,CRUZE LTZ 1.4 16V TURBO FLEX 4P AUT.
2541,FIT DX 1.5 FLEXONE 16V 5P AUT.,2017.0,HONDA,FIT DX 1.5 FLEXONE 16V 5P AUT.
2548,OROCH DYN 16 SCE,2020.0,RENAULT,RENAULT/OROCH DYN 16 SCE
2562,CRONOS DRIVE 1.3 8V FLEX,2020.0,FIAT,CRONOS DRIVE 1.3 8V FLEX
2570,DUSTER OROCH DYNA. 1.6 FLEX 16V MEC.,2018.0,RENAULT,DUSTER OROCH DYNA. 1.6 FLEX 16V MEC.
2571,Q3 180CV,2018.0,AUDI,I/AUDI Q3 180CV
2572,YARIS XS 1.5 FLEX 16V 5P AUT.,2019.0,TOYOTA,YARIS XS 1.5 FLEX 16V 5P AUT.
2576,RENEGADE 1.8 AUTOM.,2020.0,JEEP,JEEP/RENEGADE 1.8 AUTOM.
2587,2008 GRIFFE EAT6,2018.0,PEUGEOT,PEUGEOT/2008 GRIFFE EAT6
2606,HB20 VISION 1.6 FLEX 16V AUT.,2020.0,HYUNDAI,HB20 VISION 1.6 FLEX 16V AUT
2626,CIVIC SEDAN EXL 2.0 FLEX 16V AUT.4P,2019.0,HONDA,CIVIC SEDAN EXL 2.0 FLEX 16V AUT.4P
2631,HB20S VISION 1.0 FLEX 12V MEC.,2020.0,HYUNDAI,HB20S VISION 1.0 FLEX 12V MEC.
2633,TORO ULTRA 2.0 16V 4X4 TB DIESEL AUT.,2020.0,FIAT,TORO ULTRA 2.0 16V 4X4 TB DIESEL AUT.
2634,KICKS S CVT,2020.0,NISSAN,NISSAN/KICKS S CVT
2645,CITY SEDAN LX 1.5 FLEX 16V 4P AUT.,2017.0,HONDA,CITY SEDAN LX 1.5 FLEX 16V 4P AUT.
2646,POLO HIGHLINE 200 TSI 1.0 FLEX 12V AUT.,2018.0,VW - VOLKSWAGEN,POLO HIGHLINE 200 TSI 1.0 FLEX 12V AUT.
2650,FUSION SEL GTDI,2018.0,FORD,I/FORD FUSION SEL GTDI
2658,RENEGADE LNGTD AT D,2021.0,JEEP,JEEP/RENEGADE LNGTD AT D
2667,500E ICON,2022.0,FIAT,I/FIAT 500E ICON
2672,VERSA EXCL CVT,2022.0,NISSAN,I/NISSAN VERSA EXCL CVT
2674,CRETA LIMITED 1.0 TB 12V FLEX AUT.,2022.0,HYUNDAI,CRETA LIMITED 1.0 TB 12V FLEX AUT.
2689,COMPASS TRAILHAWK D,2018.0,JEEP,JEEP/COMPASS TRAILHAWK D
2693,AXOR 2536 S,2018.0,M.BENZ,M.BENZ/AXOR 2536 S
2699,MOBI TREKKING 1.0 FLEX 5P.,2021.0,FIAT,MOBI TREKKING 1.0 FLEX 5P.
2707,S10 MID DD4A,2019.0,GM - CHEVROLET,CHEVROLET/S10 MID DD4A
2716,S10 PICK-UP LT 2.5 FLEX 4X4 CD AUT.,2020.0,GM - CHEVROLET,S10 PICK-UP LT 2.5 FLEX 4X4 CD AUT.
2719,SIENA ATTRACTIVE 1.4 FIRE FLEX 8V 4P,2017.0,FIAT,SIENA ATTRACTIVE 1.4 FIRE FLEX 8V 4P
2723,HB20S STYLE 1.6 FLEX 16V AUT.,2018.0,HYUNDAI,HB20S STYLE 1.6 FLEX 16V AUT.
2730,HILUX CD 4X4 2.7 16V FLEX MEC.,2018.0,TOYOTA,HILUX CD 4X4 2.7 16V FLEX MEC.
2738,VERSA 16SV CVT,2020.0,NISSAN,NISSAN/VERSA 16SV CVT
2742,SANDERO RLIN10MT,2022.0,RENAULT,RENAULT/SANDERO RLIN10MT
2748,X1 XDRIVE 25I SPORT 2.0/2.0 FLEX AUT.,2018.0,BMW,BMW X1 XDRIVE 25I SPORT 2.0/2.0 FLEX AUT.
2761,RENEGADE LNGTD AT D,2019.0,JEEP,JEEP/RENEGADE LNGTD AT D
2773,G 310 GS,2018.0,BMW,BMW G 310 GS
2777,JETTA COMFORTLINE 1.4 TSI 16V 4P AUT.,2017.0,VW - VOLKSWAGEN,JETTA COMFORTLINE 1.4 TSI 16V 4P AUT.
2778,ONIX HATCH LT 1.0 12V TB FLEX 5P MEC.,2020.0,GM - CHEVROLET,ONIX HATCH LT 1.0 12V TB FLEX 5P MEC.
2784,AMG A35SD 4M,2020.0,M.BENZ,I/M.BENZ AMG A35SD 4M
2787,RANGER XLSCD4A22C,2019.0,FORD,I/FORD RANGER XLSCD4A22C
2793,FIT LX 1.5 FLEXONE 16V 5P AUT.,2017.0,HONDA,FIT LX 1.5 FLEXONE 16V 5P AUT.
2794,FUSION TITGTDIAWD,2019.0,FORD,I/FORD FUSION TITGTDIAWD
2796,HB20X DIAMOND 1.6 FLEX 16V AUT.,2022.0,HYUNDAI,HB20X DIAMOND 1.6 FLEX 16V AUT.
2797,SAVEIRO ROBUST 1.6 TOTAL FLEX 8V CD,2017.0,VW - VOLKSWAGEN,SAVEIRO ROBUST 1.6 TOTAL FLEX 8V CD
2801,SANDERO ZEN FLEX 1.6 16V 5P MEC.,2020.0,RENAULT,SANDERO ZEN FLEX 1.6 16V 5P MEC.
2804,SPIN LT 1.8 8V ECONO.FLEX 5P MEC.,2020.0,GM - CHEVROLET,SPIN LT 1.8 8V ECONO.FLEX 5P MEC.
2828,ECOSPORT SE AT 1.5,2021.0,FORD,FORD/ECOSPORT SE AT 1.5
2833,ONIX HATCH LTZ 1.4 8V FLEXPOWER 5P AUT.,2017.0,GM - CHEVROLET,ONIX HATCH LTZ 1.4 8V FLEXPOWER 5P AUT.
2842,YARIS XL PLUS CON. 1.5 FLEX 16V 5P AUT.,2020.0,TOYOTA,YARIS XL PLUS CON. 1.5 FLEX 16V 5P AUT.
2845,FIESTA 16SEL,2017.0,FORD,FORD/FIESTA 16SEL
2856,C4 CACTUS SHINE PACK 1.6 TURBO FLEX AUT.,2019.0,CITROËN,C4 CACTUS SHINE PACK 1.6 TURBO FLEX AUT.
2857,RANGER XLSCD4 22C,2018.0,FORD,I/FORD RANGER XLSCD4 22C
2858,S10 PICK-UP LTZ 2.5 FLEX 4X4 CD AUT.,2019.0,GM - CHEVROLET,S10 PICK-UP LTZ 2.5 FLEX 4X4 CD AUT.
2861,S10 PICK-UP LTZ 2.4 F.POWER 4X2 CD,2017.0,GM - CHEVROLET,S10 PICK-UP LTZ 2.4 F.POWER 4X2 CD
2876,208 UBTECH EAT6,2018.0,PEUGEOT,PEUGEOT/208 UBTECH EAT6
