,modelo,ano_modelo,marca,modelo_raw
99,PRISMA SED. LT 1.4 8V FLEXPOWER 4P,2018.0,GM - CHEVROLET,PRISMA SED. LT 1.4 8V FLEXPOWER 4P
110,ONIX SEDAN PLUS LTZ 1.0 12V TB FLEX AUT.,2020.0,GM - CHEVROLET,ONIX SEDAN PLUS LTZ 1.0 12V TB FLEX AUT.
112,SIENA ATTRACTIVE 1.4 FIRE FLEX 8V 4P,2019.0,FIAT,SIENA ATTRACTIVE 1.4 FIRE FLEX 8V 4P
113,ECOSPORT FSL AT1.6B,2017.0,FORD,FORD/ECOSPORT FSL AT1.6B
114,T-CROSS COMFORTLINE 1.0 TSI FLEX 5P AUT.,2020.0,VW - VOLKSWAGEN,T-CROSS COMFORTLINE 1.0 TSI FLEX 5P AUT.
116,KA SE 1.5 SD B,2018.0,FORD,FORD/KA SE 1.5 SD B
118,VERSA 16SL CVT,2019.0,NISSAN,NISSAN/VERSA 16SL CVT
125,YARIS XS SEDAN 1.5 FLEX 16V 4P AUT.,2019.0,TOYOTA,YARIS XS SEDAN 1.5 FLEX 16V 4P AUT.
126,SANDERO ZEN FLEX 1.0 12V 5P MEC.,2020.0,RENAULT,SANDERO ZEN FLEX 1.0 12V 5P MEC.
128,YARIS XLS 1.5 FLEX 16V 5P AUT.,2019.0,TOYOTA,YARIS XLS 1.5 FLEX 16V 5P AUT.
129,POLO COMFORTLINE TSI 1.0 FLEX 12V AUT.,2020.0,VW - VOLKSWAGEN,POLO COMFORTLINE TSI 1.0 FLEX 12V AUT.
131,HR-V LX 1.8 FLEXONE 16V 5P AUT.,2020.0,HONDA,HR-V LX 1.8 FLEXONE 16V 5P AUT.
137,320IA,2018.0,BMW,320IA
138,SPIN ACTIV 1.8 8V ECONO. FLEX 5P AUT.,2021.0,GM - CHEVROLET,SPIN ACTIV 1.8 8V ECONO. FLEX 5P AUT.
142,VOYAGE 1.6 MSI FLEX 8V 4P,2019.0,VW - VOLKSWAGEN,VOYAGE 1.6 MSI FLEX 8V 4P
145,FOX COMFORTLINE 1.0 FLEX 12V 5P,2018.0,VW - VOLKSWAGEN,FOX COMFORTLINE 1.0 FLEX 12V 5P
146,STRADA WORKING HARD 1.4 FIRE FLEX 8V CS,2017.0,FIAT,STRADA WORKING HARD 1.4 FIRE FLEX 8V CS
147,ETIOS X PLUS SEDAN 1.5 FLEX 16V 4P MEC.,2019.0,TOYOTA,ETIOS X PLUS SEDAN 1.5 FLEX 16V 4P MEC.
148,HB20 OCEAN 1.0 FLEX 12V 5P MEC.,2018.0,HYUNDAI,HB20 OCEAN 1.0 FLEX 12V 5P MEC.
149,S10 PICK-UP LS 2.8 TDI 4X4 CD DIES. MEC.,2020.0,GM - CHEVROLET,S10 PICK-UP LS 2.8 TDI 4X4 CD DIES. MEC.
